GT Program,Benchmark Info,Semantics,Question Selector,Correct?,Initial Synthesis Time,Active Learning Time,Initial Program Space Size,Final Program Space Size,# Rounds,Time Per Round,RefineHS Time,Select Question Time,Distinguish Time
"Map(Union[IsObject(Glasses), Smile, EyesOpen], IsObject(Person), GetBelow)",wedding,CCE,SmartLabel,True,3.2999698747880757,19.71656766696833,128,1,6,"[7.97700904100202, 6.171527083031833, 2.1009238332044333, 1.3546831659041345, 1.0451971250586212, 0.8849826250225306]",3.3937153327278793,19.355478334240615,0.2655485395807773
"Union[Map(IsObject(Bride), IsObject(Face), GetRight), Map(IsObject(Bride), IsObject(Face), GetLeft)]",wedding,CCE,SmartLabel,True,4.479688124964014,9.991539167007431,3446,1,1,[9.8449921249412],5.546666832873598,8.63360745809041,0.2901891660876572
"Union[IsObject(Bride), Map(IsObject(Bride), IsObject(Face), GetAbove)]",wedding,CCE,SmartLabel,True,3.667444833088666,7.666750167030841,27,2,2,"[6.620034041814506, 0.7673239579889923]",3.6817616252228618,7.371231375029311,0.2804271245840937
"Map(IsObject(Face), IsObject(Face), GetAbove)",wedding,CCE,SmartLabel,True,3.712893082993105,10.762756208190694,55,1,4,"[8.542692916933447, 1.0587444580160081, 0.5147320418618619, 0.47845504200086]",3.738661623792723,10.559777874033898,0.1752244990784675
"Intersection[Complement(Smile), Map(IsObject(Face), IsObject(Face), GetAbove)]",wedding,CCE,SmartLabel,True,4.106068708002567,1.2206549998372793,6,1,1,[1.0031680420506746],4.108972249086946,0.9988127090036869,0.21829908294603229
"Intersection[Map(IsObject(Face), IsObject(Face), GetRight), Map(IsObject(Face), IsObject(Face), GetLeft)]",wedding,CCE,SmartLabel,True,4.452016124967486,8.192938791122288,35,1,1,[7.943894790951163],4.464517624815926,7.929226625012234,0.2503619168419391
"Intersection[Smile, EyesOpen]",wedding,CCE,SmartLabel,True,6.273919708095491,172.1031891661696,12279,1,16,"[13.541296832961962, 9.328867207979783, 9.359411124838516, 9.558942874893546, 13.532762709073722, 10.104581667110324, 12.303504208102822, 12.93095679092221, 13.977379292016849, 11.300515917129815, 13.80978516698815, 15.275570583995432, 11.369392958004028, 12.96886054216884, 1.3380242499988526, 1.2830549168866128]",53.256241413997486,124.09172058245167,1.011750833131373
"Intersection[IsObject(Face), Complement(Intersection[Smile, EyesOpen])]",wedding,CCE,SmartLabel,True,5.004200792172924,0.6562238340266049,2,1,1,[0.4629776659421623],5.006196959177032,0.45957962493412197,0.19372562412172556
"Intersection[Smile, EyesOpen, Complement(MouthOpen)]",wedding,CCE,SmartLabel,True,3.2287828328553587,14.773808291880414,105,1,3,"[10.961788499960676, 3.2736225828994066, 0.35902729188092053]",3.282745874952525,14.531452165916562,0.18699029088020325
"Union[Map(IsObject(Bride), IsObject(Face), GetAbove), Map(IsObject(Suit), IsObject(Face), GetAbove)]",wedding,CCE,SmartLabel,True,4.02445925003849,13.598417917033657,696,1,5,"[8.715224416926503, 1.979480667039752, 1.2703479169867933, 0.8649999171029776, 0.6594702920410782]",4.2476712092757225,13.24226295738481,0.1313819580245763
"Intersection[IsObject(Face), Complement(Smile)]",wedding,CCE,SmartLabel,True,5.2462195828557014,8.112674875184894,1550,1,2,"[7.271739125018939, 0.7365772081539035]",5.7722849156707525,7.467914792010561,0.11787895788438618
"Union[IsObject(Glasses), Intersection[Smile, EyesOpen]]",wedding,CCE,SmartLabel,True,4.87114533293061,23.068529875017703,359,1,3,"[7.54164570919238, 7.127136124996468, 8.243928916053846]",5.134209915762767,22.638472666963935,0.1650918743107468
"Map(Map(IsObject(Face), IsObject(Face), GetRight), IsObject(Face), GetRight)",wedding,CCE,SmartLabel,True,3.666681374888867,0.19425333314575255,1,1,0,[],3.666681374888867,0,0.19140050001442432
"Union[EyesOpen, Intersection[IsObject(Face), Complement(MouthOpen)]]",wedding,CCE,SmartLabel,True,6.113420124864206,52.890409166924655,25527,1,7,"[12.794557625195011, 8.3344985418953, 9.970824707997963, 12.692796082934365, 7.644865208072588, 0.8654835829511285, 0.4113903751131147]",17.532617166172713,40.92747979098931,0.5413467930629849
"Union[Smile, Map(Smile, IsObject(Face), GetRight)]",wedding,CCE,SmartLabel,True,6.119086416903883,21.977641667006537,8003,4,6,"[8.94332466693595, 6.42474045814015, 2.69263037503697, 1.689171708188951, 1.2542737079784274, 0.8955004999879748]",8.352127123624086,18.434814499225467,1.3079146652016789
"Union[IsObject(Bride), Map(IsObject(Bride), IsObject(Face), GetLeft), Map(IsObject(Bride), IsObject(Face), GetRight)]",wedding,CCE,SmartLabel,FAIL,5.560425207950175,10.021001208107919,291,4,2,"[7.063854124862701, 2.9567590409424156]",5.649992417078465,9.919278374873102,0.010615707840770483
"Union[IsObject(Car), IsObject(Bicycle)]",cars,CCE,SmartLabel,True,4.444450875045732,0.42817454203031957,3,1,1,[0.3932057498022914],4.4451114581897855,0.3916274579241872,0.03427787614054978
"Map(Intersection[Smile, EyesOpen], IsObject(Car), GetIsContained)",cars,CCE,SmartLabel,True,3.8323693750426173,9.775460375007242,264,2,3,"[5.21573712490499, 3.552753624971956, 0.7752747919876128]",3.9646582501009107,9.407001376152039,0.23515245807357132
"Map(IsObject(Car), IsObject(Face), GetContains)",cars,CCE,SmartLabel,True,3.9388795411214232,106.08014291711152,341,22,16,"[4.783547166036442, 3.7616404581349343, 2.3780996669083834, 2.013035374926403, 2.6981109590269625, 2.0107926668133587, 5.248048166977242, 15.130632957909256, 15.310945250093937, 9.199734417023137, 10.623012499883771, 7.647308207815513, 6.20443629194051, 6.150382541120052, 6.158057332970202, 6.140827542170882]",4.454746459843591,102.2318118782714,3.3259271674323827
Complement(IsObject(Car)),cars,CCE,SmartLabel,True,23.04905016697012,65.92983212508261,9155,24,9,"[25.38218504213728, 3.7694292499218136, 3.3189230831339955, 2.960904542123899, 3.0715211250353605, 3.839310416020453, 3.6706643749494106, 4.135557999834418, 13.282741667004302]",45.909084875602275,40.167690041475,2.8910152073949575
"Complement(Union[IsObject(Car), IsObject(Bicycle)])",cars,CCE,SmartLabel,True,4.930211333092302,0.29104470810852945,2,1,1,[0.23585712513886392],4.933885249076411,0.23153470898978412,0.05424804100766778
"Map(IsObject(Car), Union[IsObject(Person), IsObject(Bicycle)], GetContains)",cars,CCE,SmartLabel,True,3.5839518329594284,159.09793604211882,419,1,5,"[5.989275082945824, 20.211008915910497, 112.13284724997357, 18.036071208072826, 2.6679313329514116]",4.487791332881898,145.17489433381706,13.013895208016038
"Intersection[EyesOpen, Complement(Map(IsObject(Car), EyesOpen, GetContains))]",cars,CCE,SmartLabel,True,7.09903912502341,27.59764804202132,1123,1,3,"[9.0979549579788, 9.707822833908722, 8.637512124842033]",11.958745666779578,21.164573666173965,1.5694109993055463
"Map(IsObject(Person), IsObject(Car), GetIsContained)",cars,CCE,SmartLabel,True,3.4779335830826312,4.685355332912877,215,2,1,[4.509948374936357],3.5592674580402672,4.42817641608417,0.17402533302083611
"Map(Map(IsObject(Helmet), IsObject(Person), GetBelow), IsObject(Bicycle), GetBelow)",cars,CCE,SmartLabel,True,4.68113987497054,12.90012887492776,413,1,5,"[6.135171625064686, 5.099376291967928, 1.224470749963075, 0.23760995781049132, 0.1440988329704851]",4.9621314578689635,11.188195499125868,1.4296191660687327
"Intersection[IsObject(Bicycle), Complement(Map(IsObject(Person), IsObject(Bicycle), GetBelow))]",cars,CCE,SmartLabel,True,2.65239370893687,11.243604458170012,482,1,5,"[4.444191334070638, 4.1537914159707725, 1.9899901249445975, 0.3982820420060307, 0.1726302090100944]",2.934534999774769,10.455838917056099,0.5043423329479992
"Intersection[IsObject(Bicycle), Complement(Map(EyesOpen, IsObject(Bicycle), GetBelow))]",cars,CCE,SmartLabel,True,5.052866166923195,12.191847749985754,525,1,3,"[4.41913262498565, 6.515590958064422, 1.165776666952297]",5.545961166033521,9.619281833060086,2.078485874691978
"Union[IsObject(Bicycle), IsObject(Car), IsObject(Person)]",cars,CCE,SmartLabel,True,2.6665129167959094,66.1060707080178,374,1,3,"[4.060971833998337, 5.20235341694206, 56.79732749983668]",3.125808249693364,65.59199366602115,0.053303333930671215
"Map(IsObject(Bicycle), Union[Smile, EyesOpen], GetAbove)",cars,CCE,SmartLabel,True,3.761647375067696,10.595461749937385,3,1,12,"[0.2899921250063926, 0.5336878749076277, 0.5454485830850899, 0.5321624579373747, 1.0650961250066757, 1.0969449579715729, 1.0591291252058, 1.0513144580181688, 1.0718660419806838, 1.0693347079213709, 1.0928856669925153, 1.0925605411175638]",3.7877427095081657,10.42762229219079,0.13976799976080656
"Intersection[IsObject(Face), Complement(Map(IsObject(Bicycle), IsObject(Face), GetAbove))]",cars,CCE,SmartLabel,True,3.5425607920624316,12.778223207918927,205,1,3,"[5.290083958068863, 4.823916167020798, 2.571797209093347]",3.6661997919436544,11.760771959321573,0.8922477921005338
"Union[IsObject(Cat), IsObject(Face)]",cats,CCE,SmartLabel,True,1.4651768750045449,5.003051582956687,6764,1,3,"[3.304858749965206, 1.441547832917422, 0.25024050008505583]",2.94309191708453,3.1372178758028895,0.38686945801600814
"Union[IsObject(Cat), EyesOpen]",cats,CCE,SmartLabel,True,1.3748534589540213,10.615842791972682,6764,95,5,"[3.4452860420569777, 1.444763374980539, 1.5442504999227822, 1.4879685840569437, 1.4091638340614736]",2.8514255837071687,7.46587900002487,1.6716642077080905
"Intersection[IsObject(Cat), Complement(Map(IsObject(Cat), IsObject(Cat), GetBelow))]",cats,CCE,SmartLabel,True,1.3675106670707464,42.793160791974515,6764,1,16,"[3.197783541865647, 1.9431412499397993, 2.0408832079265267, 2.1224464578554034, 2.106659415876493, 2.31745466706343, 2.2782816670369357, 2.546527792001143, 2.4088637090753764, 2.7016214998438954, 2.93821358284913, 2.9157662498764694, 3.25312712485902, 3.1166970829945058, 3.2644682498648763, 3.628036290872842]",13.08692429587245,29.833801751956344,1.2343924129381776
"Intersection[Map(IsObject(Cat), IsObject(Cat), GetRight), Map(IsObject(Cat), IsObject(Cat), GetLeft)]",cats,CCE,SmartLabel,True,2.999251125147566,7.851108083035797,6924,1,3,"[4.364868708886206, 1.8550676659215242, 1.6146694589406252]",6.014965834096074,4.72414670791477,0.11016783397644758
"Map(IsObject(Guitar), IsObject(Face), GetAbove)",guitars,CCE,SmartLabel,True,4.972207583021373,2.677871665917337,6035,2,2,"[2.063986459048465, 0.5959941670298576]",6.608551833080128,1.0208731251768768,0.01811225083656609
"Union[IsObject(Guitar), Map(IsObject(Guitar), IsObject(Face), GetAbove)]",guitars,CCE,SmartLabel,True,3.170479124877602,0.9509604999329895,130,1,2,"[0.5192858341615647, 0.4242011660244316]",3.2203368758782744,0.8922156658954918,0.007644748780876398
"Intersection[IsObject(Face), Complement(Map(IsObject(Guitar), IsObject(Face), GetAbove))]",guitars,CCE,SmartLabel,True,5.570785040967166,0.2153144998010248,17,1,2,"[0.16116170794703066, 0.04589633294381201]",5.579020041041076,0.1978869589511305,0.008326999377459288
